# last itr    DescrSz     Lambda      eigenvalues/(# particles - 1) ->
  2  1.60000000E+01     0.00000000    -1.00000000
 38  1.09951163E+12     0.05000000    -1.00063035
 41  8.79609302E+12     0.10000000    -1.00252393
 45  1.40737488E+14     0.15000000    -1.00568607
 55  1.44115188E+17     0.20000000    -1.01012408
 48  1.12589991E+15     0.25000000    -1.01584737
 45  1.40737488E+14     0.30000000    -1.02286751
 43  3.51843721E+13     0.35000000    -1.03119859
 62  1.84467441E+19     0.40000000    -1.04085804
 53  3.60287970E+16     0.45000000    -1.05214646
 48  1.12589991E+15     0.50000000    -1.06468170
 47  5.62949953E+14     0.55000000    -1.07867948
 82  1.93428131E+25     0.60000000    -1.09442144
 51  9.00719925E+15     0.65000000    -1.11133882
 45  1.40737488E+14     0.70000000    -1.13012212
 51  9.00719925E+15     0.75000000    -1.15055833
 56  2.88230376E+17     0.80000000    -1.17275406
 72  1.88894659E+22     0.85000000    -1.19705280
 46  2.81474977E+14     0.90000000    -1.22266556
 46  2.81474977E+14     0.95000000    -1.25033441
 48  1.12589991E+15     1.00000000    -1.28009149
 49  2.25179981E+15     1.05000000    -1.31181075
 61  9.22337204E+18     1.10000000    -1.34541032
 47  5.62949953E+14     1.15000000    -1.38204493
 49  2.25179981E+15     1.20000000    -1.41916929
 48  1.12589991E+15     1.25000000    -1.45769036
 54  7.20575940E+16     1.30000000    -1.49786091
 46  2.81474977E+14     1.35000000    -1.53947081
 63  3.68934881E+19     1.40000000    -1.58135956
 47  5.62949953E+14     1.45000000    -1.62410652
 53  3.60287970E+16     1.50000000    -1.66753325
 47  5.62949953E+14     1.55000000    -1.71144699
 48  1.12589991E+15     1.60000000    -1.75591756
 47  5.62949953E+14     1.65000000    -1.80134048
 53  3.60287970E+16     1.70000000    -1.84650581
 47  5.62949953E+14     1.75000000    -1.89200015
 47  5.62949953E+14     1.80000000    -1.93772589
100  5.07060240E+30     1.85000000    -1.98384955
 60  4.61168602E+18     1.90000000    -2.03007395
 47  5.62949953E+14     1.95000000    -2.07656321
 47  5.62949953E+14     2.00000000    -2.12319756
 57  5.76460752E+17     2.05000000    -2.17004055
100  5.07060240E+30     2.10000000    -2.21701944
 48  1.12589991E+15     2.15000000    -2.26434933
 60  4.61168602E+18     2.20000000    -2.31169342
 52  1.80143985E+16     2.25000000    -2.35908980
 47  5.62949953E+14     2.30000000    -2.40660741
 50  4.50359963E+15     2.35000000    -2.45456313
100  5.07060240E+30     2.40000000    -2.50229569
 56  2.88230376E+17     2.45000000    -2.55012624
 56  2.88230376E+17     2.50000000    -2.59817407
 50  4.50359963E+15     2.55000000    -2.64618079
 47  5.62949953E+14     2.60000000    -2.69426807
 47  5.62949953E+14     2.65000000    -2.74246369
 50  4.50359963E+15     2.70000000    -2.79069735
100  5.07060240E+30     2.75000000    -2.83899811
 49  2.25179981E+15     2.80000000    -2.88736217
 58  1.15292150E+18     2.85000000    -2.93578600
 48  1.12589991E+15     2.90000000    -2.98426634
 49  2.25179981E+15     2.95000000    -3.03284591
 47  5.62949953E+14     3.00000000    -3.08142992
