# Lam   GS_eigval 
0.00000000      -1.00000000 
0.05000000      -1.00062500 
0.10000000      -1.00250000 
0.15000000      -1.00562500 
0.20000000      -1.01000000 
0.25000000      -1.01562500 
0.30000000      -1.02250000 
0.35000000      -1.03062500 
0.40000000      -1.04000000 
0.45000000      -1.05062500 
0.50000000      -1.06250000 
0.55000000      -1.07562500 
0.60000000      -1.09000000 
0.65000000      -1.10562500 
0.70000000      -1.12250000 
0.75000000      -1.14062500 
0.80000000      -1.16000000 
0.85000000      -1.18062500 
0.90000000      -1.20250000 
0.95000000      -1.22562500 
1.00000000      -1.25000000 
1.05000000      -1.27562500 
1.10000000      -1.30250000 
1.15000000      -1.33062500 
1.20000000      -1.36000000 
1.25000000      -1.39062500 
1.30000000      -1.42250000 
1.35000000      -1.45562500 
1.40000000      -1.49000000 
1.45000000      -1.52562500 
1.50000000      -1.56250000 
1.55000000      -1.60062500 
1.60000000      -1.64000000 
1.65000000      -1.68062500 
1.70000000      -1.72250000 
1.75000000      -1.76562500 
1.80000000      -1.81000000 
1.85000000      -1.85562500 
1.90000000      -1.90250000 
1.95000000      -1.95062500 
2.00000000      -2.00000000 
2.05000000      -2.05000000 
2.10000000      -2.10000000 
2.15000000      -2.15000000 
2.20000000      -2.20000000 
2.25000000      -2.25000000 
2.30000000      -2.30000000 
2.35000000      -2.35000000 
2.40000000      -2.40000000 
2.45000000      -2.45000000 
2.50000000      -2.50000000 
2.55000000      -2.55000000 
2.60000000      -2.60000000 
2.65000000      -2.65000000 
2.70000000      -2.70000000 
2.75000000      -2.75000000 
2.80000000      -2.80000000 
2.85000000      -2.85000000 
2.90000000      -2.90000000 
2.95000000      -2.95000000 
3.00000000      -3.00000000 
